'Nombre: CHEMILABS; Código: 12345678; Fecha: 24/12/2019 00:00:00; Canales: 18
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;16,RAIN,mm;17,Humedad Int,% H.R.;18,Temperatura Int,°C;20,Estado Puerta,No definida;
0000 8.55  2.09  -147.86  11.41  0.51  120.71  -39.54  86.90  143.8  0.1  52.1  19.7  753.0  0.0  0.0  5.0  34.0  1.0 
0010 6.85  1.97  -147.83  11.28  0.51  120.76  -39.25  87.20  153.7  0.1  52.1  19.7  753.0  0.0  0.0  5.0  34.0  1.0 
0020 3.04  1.71  -147.88  11.06  0.52  120.89  -38.82  87.70  180.2  0.2  52.1  19.7  753.0  0.0  0.0  5.0  34.0  1.0 
0030 3.14  1.81  -147.89  11.15  0.52  121.09  -38.92  87.82  167.2  0.1  52.2  19.7  752.9  0.0  0.0  5.0  34.0  1.0 
0040 3.01  2.09  -148.07  11.11  0.52  121.79  -38.23  89.11  188.0  0.1  52.1  19.6  752.8  0.0  0.0  5.0  34.0  1.0 
0050 2.84  2.07  -147.94  11.41  0.51  121.77  -38.42  88.92  173.7  0.1  52.0  19.6  752.8  0.0  0.0  5.0  34.0  1.0 
0100 12.87  3.01  -147.62  11.83  0.50  121.84  -38.65  88.79  157.3  0.1  51.5  19.6  752.7  0.0  0.0  5.0  34.0  1.0 
0110 12.68  3.04  -147.58  11.94  0.50  121.85  -38.86  88.62  163.4  0.1  51.3  19.6  752.6  0.0  0.0  5.0  34.0  1.0 
0120 8.97  2.78  -147.54  12.26  0.49  121.77  -39.60  87.92  185.7  0.1  50.7  19.6  752.5  0.0  0.0  5.0  34.0  1.0 
0130 7.12  2.53  -147.59  12.53  0.48  121.83  -40.09  87.55  188.6  0.2  50.6  19.6  752.4  0.0  0.0  5.0  34.0  1.0 
0140 3.02  1.92  -147.78  13.12  0.47  122.09  -41.58  86.53  201.7  0.2  50.2  19.6  752.1  0.0  0.0  5.0  34.0  1.0 
0150 2.28  1.77  -147.92  13.14  0.46  122.48  -42.21  86.39  225.0  0.1  50.0  19.6  751.9  0.0  0.0  5.0  34.0  1.0 
0200 2.18  1.75  -147.72  13.31  0.46  122.61  -42.17  86.56  232.0  0.1  49.9  19.6  751.9  0.0  0.0  5.0  34.0  1.0 
0210 2.02  1.65  -147.29  14.06  0.45  122.82  -42.25  86.69  244.0  0.1  49.3  19.5  751.8  0.0  0.0  5.0  34.0  1.0 
0220 1.92  1.54  -147.09  14.45  0.44  122.77  -42.56  86.37  260.1  0.2  49.0  19.5  751.7  0.0  0.0  5.0  34.0  1.0 
0230 1.85  1.50  -147.02  14.46  0.44  122.77  -42.69  86.27  238.8  0.2  49.0  19.5  751.6  0.0  0.0  5.0  34.0  1.0 
0240 1.79  1.47  -147.28  14.29  0.44  122.77  -42.85  86.13  199.8  0.1  48.9  19.5  751.6  0.0  0.0  5.0  34.0  1.0 
0250 1.82  1.49  -147.39  14.07  0.45  122.75  -42.72  86.22  202.2  0.1  48.8  19.5  751.6  0.0  0.0  5.0  34.0  1.0 
0300 1.86  1.53  -147.70  13.58  0.50  122.86  -42.44  86.57  216.3  0.1  48.7  19.5  751.6  0.0  0.0  5.0  34.0  1.0 
0310 1.85  1.52  -147.62  13.62  0.50  122.88  -42.30  86.71  217.4  0.2  48.7  19.4  751.6  0.0  0.0  5.0  34.0  1.0 
0320 1.96  1.51  -147.40  13.78  0.50  122.87  -42.21  86.79  215.6  0.2  48.8  19.4  751.6  0.0  0.0  5.0  34.0  1.0 
0330 2.00  1.55  -147.33  13.77  0.50  122.82  -42.17  86.77  220.8  0.2  48.8  19.4  751.7  0.0  0.0  5.0  34.0  1.0 
0340 1.90  1.56  -147.50  13.53  0.50  122.73  -42.32  86.54  216.6  0.2  48.8  19.4  751.8  0.0  0.0  5.0  34.0  1.0 
0350 1.89  1.56  -147.60  13.32  0.49  122.89  -42.46  86.59  215.5  0.1  48.9  19.4  751.7  0.0  0.0  5.0  34.0  1.0 
0400 1.84  1.52  -147.72  13.05  0.47  124.13  -43.30  87.12  229.8  0.2  49.2  19.4  751.6  0.0  0.0  5.0  34.0  1.0 
0410 1.84  1.56  -147.78  13.06  0.47  125.26  -43.74  87.86  234.8  0.1  49.4  19.4  751.6  0.0  0.0  5.0  34.0  1.0 
0420 2.01  1.68  -147.79  13.01  0.48  125.51  -43.69  88.16  236.5  0.1  49.4  19.4  751.7  0.0  0.0  5.0  34.0  1.0 
0430 3.31  2.51  -147.83  11.42  0.52  128.69  -39.97  94.51  229.1  0.1  49.7  19.3  751.8  0.0  0.0  5.0  34.0  1.0 
0440 3.69  2.78  -147.61  9.45  0.53  129.71  -36.87  98.18  235.5  0.1  49.8  19.3  751.8  0.0  0.0  5.0  34.0  1.0 
0450 4.57  3.30  -147.08  4.94  0.57  130.46  -29.31  105.40  249.7  0.2  50.2  19.3  752.0  0.0  0.0  5.0  34.0  1.0 
0500 5.26  3.38  -147.24  4.60  0.58  129.27  -27.82  105.48  241.5  0.2  50.4  19.3  752.0  0.0  0.0  5.0  34.0  1.0 
0510 5.95  3.50  -147.26  4.15  0.61  127.99  -25.94  105.81  238.7  0.2  50.8  19.2  752.1  0.0  0.0  5.0  34.0  1.0 
0520 7.81  3.60  -147.31  4.45  0.61  127.55  -26.08  105.25  253.3  0.2  50.9  19.2  752.1  0.0  0.0  5.0  34.0  1.0 
0530 10.79  4.04  -147.23  4.61  0.61  127.45  -26.38  104.89  249.3  0.2  50.9  19.2  752.1  0.0  0.0  5.0  34.0  1.0 
0540 19.01  5.26  -147.04  4.97  0.61  127.81  -27.02  104.72  237.0  0.2  50.9  19.2  752.1  0.0  0.0  5.0  34.0  1.0 
