'Nombre: CHEMILABS; Código: 12345678; Fecha: 08/12/2019 00:00:00; Canales: 19
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;3,TSP,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;18,RAIN,mm;16,Humedad Int,% H.R.;17,Temperatura Int,°C;19,Estado Puerta,No definida;
0000 24.67  21.24  0.00D -25.48  6.96  0.23  4.68  20.86  22.52  120.2  0.2  59.7  20.2  753.2  0.0  0.0  10.0  23.3  0.0 
0010 25.22  21.94  0.00D -25.43  6.91  0.24  5.03  21.22  23.18  118.2  0.2  59.8  20.2  753.2  0.0  0.0  10.0  23.4  0.0 
0020 26.82  23.59  0.00D -25.50  6.41  0.27  7.48  22.02  26.30  111.2  0.2  59.9  20.2  753.0  0.0  0.0  10.0  23.4  0.0 
0030 26.53  23.16  0.00D -25.60  6.72  0.27  13.92  20.11  31.11  111.1  0.2  59.9  20.2  752.9  0.0  0.0  10.0  23.2  0.0 
0040 27.86  24.00  0.00D -25.61  6.89  0.25  16.33  18.38  32.05  113.4  0.2  60.0  20.2  752.8  0.0  0.0  10.0  23.5  0.0 
0050 28.37  24.47  0.00D -25.54  6.72  0.26  19.25  17.30  34.04  113.0  0.2  60.0  20.2  752.8  0.0  0.0  10.0  23.3  0.0 
0100 28.21  24.43  0.00D -25.59  6.29  0.25  25.19  14.89  37.91  116.5  0.2  60.2  20.2  752.6  0.0  0.0  10.0  23.2  0.0 
0110 27.91  23.97  0.00D -25.50  6.33  0.24  23.21  15.22  36.22  114.0  0.2  60.2  20.2  752.5  0.0  0.0  10.0  23.3  0.0 
0120 29.45  24.81  0.00D -25.58  6.51  0.22  17.19  16.48  31.28  115.9  0.2  60.1  20.1  752.4  0.0  0.0  10.0  23.2  0.0 
0130 32.16  26.71  0.00D -25.61  6.45  0.21  15.08  17.38  29.94  115.3  0.2  59.9  20.1  752.3  0.0  0.0  10.0  23.3  0.0 
0140 37.40  30.40  0.00D -25.91  6.06  0.19  13.11  19.31  29.62  114.1  0.2  59.6  20.1  752.1  0.0  0.0  10.0  23.4  0.0 
0150 34.01  28.89  0.00D -25.62  5.83  0.20  22.02  16.37  36.03  120.5  0.2  59.8  20.0  752.0  0.0  0.0  10.0  23.4  0.0 
0200 32.27  27.38  0.00D -25.47  6.09  0.18  22.47  15.59  35.80  140.7  0.2  59.7  20.0  752.0  0.0  0.0  10.0  23.3  0.0 
0210 29.05  24.31  0.00D -25.39  6.22  0.16  20.35  16.07  34.10  136.5  0.2  59.2  20.0  751.9  0.0  0.0  10.0  23.0  0.0 
0220 27.68  23.17  0.00D -25.55  5.86  0.14  17.76  17.35  32.60  131.6  0.2  58.9  20.0  751.9  0.0  0.0  10.0  23.2  0.0 
0230 23.76  19.92  0.00D -26.20  5.46  0.07  9.35  21.66  27.87  118.0  0.2  58.0  20.0  751.8  0.0  0.0  10.0  23.3  0.0 
0240 22.77  19.13  0.00D -26.10  5.53  0.05  6.47  23.10  26.22  119.2  0.2  57.8  20.0  751.8  0.0  0.0  10.0  23.3  0.0 
0250 19.91  16.57  0.00D -26.15  5.49  -0.03  -2.73  27.21  20.52  120.1  0.2  56.9  19.9  751.8  0.0  0.0  10.0  23.2  0.0 
0300 19.56  16.17  0.00D -26.47  5.43  -0.04  -3.89  27.95  20.00  118.6  0.2  56.6  20.0  751.7  0.0  0.0  10.0  23.0  0.0 
0310 19.32  16.03  0.00D -26.31  5.59  -0.03  -2.92  27.75  20.80  119.3  0.2  56.6  19.9  751.7  0.0  0.0  10.0  23.1  0.0 
0320 19.27  16.20  0.00D -26.31  6.25  -0.05  -4.13  27.57  19.45  117.9  0.2  56.8  19.9  751.6  0.0  0.0  10.0  23.3  0.0 
0330 20.58  17.23  0.00D -26.54  6.42  -0.07  -7.67  27.06  15.47  117.2  0.2  57.3  19.9  751.6  0.0  0.0  10.0  23.1  0.0 
