'Nombre: CHEMILABS; Código: 12345678; Fecha: 09/12/2019 00:00:00; Canales: 19
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;3,TSP,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;18,RAIN,mm;16,Humedad Int,% H.R.;17,Temperatura Int,°C;19,Estado Puerta,No definida;
0000 20.28  14.06  0.00D -34.77  5.66  0.22  71.28  -7.68  64.72  185.5  0.2  55.8  19.4  752.3  0.0  0.0  10.0  23.2  0.0 
0010 16.20  11.65  0.00D -34.49  5.37  0.12  62.52  -7.07  56.47  187.3  0.2  55.3  19.4  752.4  0.0  0.0  10.0  23.1  0.0 
0020 15.72  11.40  0.00D -34.67  5.36  0.09  52.64  -3.59  49.56  168.5  0.2  55.4  19.4  752.3  0.0  0.0  10.0  23.2  0.0 
0030 14.38  10.77  0.00D -35.19  5.42  0.01  25.47  6.46  30.99  157.5  0.2  55.4  19.3  752.2  0.0  0.0  10.0  23.2  0.0 
0040 14.03  10.69  0.00D -35.11  5.46  0.00  18.65  9.19  26.50  171.3  0.2  55.4  19.3  752.1  0.0  0.0  10.0  23.2  0.0 
0050 12.70  10.15  0.00D -35.17  5.53  0.02  0.82  16.23  14.69  193.5  0.2  55.3  19.2  751.9  0.0  0.0  10.0  23.3  0.0 
0100 12.41  10.34  0.00D -35.48  7.13  0.01  -4.67  16.89  9.76  179.3  0.2  55.2  19.2  751.8  0.0  0.0  10.0  23.4  0.0 
0110 15.67  14.36  0.00D -35.98  10.22  0.01  -12.14  16.53  1.99  118.2  0.2  55.2  19.2  751.7  0.0  0.0  10.0  23.4  0.0 
0120 17.22  15.27  0.00D -36.23  9.17  0.05  -5.54  15.43  7.66  135.6  0.2  55.3  19.2  751.6  0.0  0.0  10.0  23.3  0.0 
0130 18.25  14.68  0.00D -35.93  6.85  0.06  22.10  8.57  29.42  154.0  0.2  55.5  19.3  751.4  0.0  0.0  10.0  23.0  0.0 
