'Nombre: CHEMILABS; Código: 12345678; Fecha: 06/12/2019 00:00:00; Canales: 19
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;3,TSP,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;18,RAIN,mm;16,Humedad Int,% H.R.;17,Temperatura Int,°C;19,Estado Puerta,No definida;
0000 38.82  20.83  0.00D -2.41  6.42  0.98  248.87  -15.56  235.58  116.1  0.2  48.7  20.1  753.7  0.0  0.0  10.0  23.3  0.0 
0010 35.13  19.18  0.00D -2.47  6.43  0.83  232.85  -23.67  212.62  126.9  0.2  48.5  20.0  753.5  0.0  0.0  10.0  23.3  0.0 
0020 33.32  18.53  0.00D -2.64  6.78  0.78  225.59  -28.65  201.10  130.0  0.2  48.5  20.0  753.5  0.0  0.0  10.0  23.4  0.0 
0030 29.91  16.95  0.00D -2.81  6.54  0.63  202.68  -41.83  166.92  126.1  0.2  48.6  19.9  753.3  0.0  0.0  10.0  23.3  0.0 
0040 29.75  16.84  0.00D -2.84  6.67  0.61  198.98  -43.06  162.17  152.0  0.2  48.6  19.9  753.2  0.0  0.0  10.0  23.4  0.0 
0050 32.23  17.58  0.00D -3.56  6.61  0.57  197.07  -44.49  159.03  183.8  0.2  48.8  19.9  753.0  0.0  0.0  10.0  23.4  0.0 
0100 32.22  17.62  0.00D -3.60  6.20  0.57  205.77  -38.76  172.63  162.7  0.2  48.5  19.8  752.9  0.0  0.0  10.0  23.4  0.0 
0110 33.71  18.35  0.00D -3.40  6.44  0.63  225.44  -27.05  202.31  143.9  0.2  48.3  19.8  752.8  0.0  0.0  10.0  23.4  0.0 
0120 33.57  18.56  0.00D -3.24  6.17  0.65  231.50  -24.83  210.27  160.2  0.2  48.2  19.8  752.7  0.0  0.0  10.0  23.3  0.0 
0130 29.67  17.80  0.00D -3.22  6.28  0.62  235.03  -25.55  213.19  230.9  0.2  48.1  19.7  752.6  0.0  0.0  10.0  23.4  0.0 
0140 28.15  17.10  0.00D -3.44  6.14  0.56  225.19  -32.60  197.32  218.7  0.2  48.2  19.7  752.5  0.0  0.0  10.0  23.2  0.0 
0150 26.01  15.21  0.00D -3.75  6.24  0.38  189.44  -45.68  150.38  209.1  0.2  48.1  19.6  752.5  0.0  0.0  10.0  23.2  0.0 
0200 31.51  16.64  0.00D -3.81  7.59  0.39  187.53  -44.21  149.73  278.2  0.1  48.2  19.6  752.5  0.0  0.0  10.0  23.4  0.0 
0210 30.93  16.77  0.00D -3.95  7.03  0.41  198.80  -40.31  164.33  256.0  0.2  48.1  19.6  752.5  0.0  0.0  10.0  23.3  0.0 
0220 27.04  15.99  0.00D -4.28  6.47  0.40  214.04  -39.45  180.30  219.2  0.2  47.8  19.5  752.4  0.0  0.0  10.0  23.3  0.0 
0230 26.92  15.84  0.00D -4.40  6.57  0.36  209.50  -43.33  172.45  222.7  0.2  47.9  19.5  752.4  0.0  0.0  10.0  23.2  0.0 
0240 28.39  16.51  0.00D -4.51  7.52  0.31  199.34  -50.79  155.92  229.2  0.2  48.1  19.5  752.3  0.0  0.0  10.0  23.2  0.0 
0250 26.61  16.45  0.00D -4.16  9.06  0.30  196.27  -50.50  153.09  272.8  0.2  48.1  19.4  752.2  0.0  0.0  10.0  23.4  0.0 
0300 27.62  16.84  0.00D -4.24  8.02  0.29  193.90  -49.55  151.53  251.1  0.2  48.0  19.4  752.2  0.0  0.0  10.0  23.3  0.0 
0310 30.14  18.63  0.00D -4.45  6.78  0.31  197.54  -45.22  158.88  239.6  0.2  47.9  19.4  752.2  0.0  0.0  10.0  23.3  0.0 
0320 28.79  18.48  0.00D -4.39  6.78  0.30  202.02  -43.89  164.49  243.3  0.2  48.0  19.4  752.2  0.0  0.0  10.0  23.2  0.0 
0330 24.57  17.28  0.00D -4.36  6.92  0.25  197.15  -43.49  159.97  236.0  0.2  47.8  19.3  752.1  0.0  0.0  10.0  23.2  0.0 
0340 26.20  17.79  0.00D -4.49  6.83  0.24  194.15  -44.28  156.28  246.8  0.2  47.9  19.3  752.1  0.0  0.0  10.0  23.2  0.0 
0350 29.19  18.80  0.00D -4.63  6.16  0.23  194.42  -47.52  153.80  234.8  0.2  47.9  19.2  752.1  0.0  0.0  10.0  23.2  0.0 
0400 28.36  18.69  0.00D -4.69  6.59  0.23  194.76  -48.40  153.38  231.2  0.2  47.9  19.2  752.2  0.0  0.0  10.0  23.3  0.0 
0410 27.84  18.45  0.00D -4.94  7.19  0.22  190.44  -48.50  148.97  242.3  0.2  48.0  19.2  752.3  0.0  0.0  10.0  23.3  0.0 
0420 26.90  18.21  0.00D -4.76  7.04  0.23  195.17  -49.42  152.92  253.2  0.2  48.0  19.2  752.4  0.0  0.0  10.0  23.2  0.0 
0430 25.28  17.69  0.00D -4.82  8.15  0.23  195.54  -49.97  152.82  254.3  0.2  48.1  19.1  752.6  0.0  0.0  10.0  23.4  0.0 
0440 26.00  17.73  0.00D -5.10  7.68  0.22  192.17  -48.85  150.40  252.0  0.2  48.1  19.1  752.6  0.0  0.0  10.0  23.3  0.0 
0450 32.10  20.18  0.00D -5.66  6.48  0.29  201.89  -39.83  167.83  250.5  0.2  48.0  19.0  752.7  0.0  0.0  10.0  23.1  0.0 
0500 37.75  23.66  0.00D -5.68  6.61  0.38  222.96  -30.86  196.57  263.6  0.2  48.1  19.0  752.8  0.0  0.0  10.0  23.2  0.0 
0510 36.40  23.73  0.00D -5.57  6.40  0.36  221.87  -31.30  195.11  255.2  0.2  48.1  19.0  752.8  0.0  0.0  10.0  23.2  0.0 
0520 33.66  24.47  0.00D -5.24  6.87  0.31  213.76  -38.08  181.21  249.1  0.2  48.3  19.0  752.9  0.0  0.0  10.0  23.4  0.0 
0530 33.95  25.31  0.00D -5.35  6.76  0.33  211.73  -39.34  178.10  257.4  0.2  48.5  19.0  753.0  0.0  0.0  10.0  23.2  0.0 
0540 33.48  26.29  0.00D -5.47  6.99  0.37  206.65  -43.11  169.79  248.7  0.2  49.1  18.9  753.2  0.0  0.0  10.0  23.2  0.0 
0550 31.17  25.14  0.00D -5.28  7.02  0.41  204.14  -44.93  165.72  241.5  0.2  49.5  18.8  753.2  0.0  0.0  10.0  23.3  0.0 
0600 29.41  24.13  0.00D -5.17  6.01  0.48  201.78  -46.10  162.38  226.3  0.2  50.0  18.7  753.2  0.0  0.0  10.0  23.3  0.0 
0610 31.76  24.81  0.00D -5.11  5.70  0.49  202.59  -44.95  164.17  214.7  0.2  50.2  18.7  753.2  0.0  0.0  10.0  23.3  0.0 
0620 34.89  24.14  0.00D -5.55  3.40  0.60  198.46  -40.81  163.57  199.4  0.1  51.0  18.6  753.3  0.0  0.0  10.0  23.2  0.0 
0630 33.54  24.05  0.00D -6.16  2.16  0.66  183.34  -34.59  153.77  170.0  0.2  51.3  18.4  753.4  0.0  0.0  10.0  23.4  0.0 
0640 35.26  24.00  0.00D -6.20  2.24  0.69  185.53  -33.28  157.08  157.2  0.2  51.5  18.4  753.5  0.0  0.0  10.0  23.2  0.0 
0650 40.12  24.18  0.00D -6.80  2.07  0.76  190.57  -33.10  162.27  127.8  0.2  52.0  18.3  753.7  0.0  0.0  10.0  23.1  0.0 
0700 37.84  23.60  0.00D -6.86  1.93  0.76  187.92  -34.42  158.49  146.2  0.2  52.1  18.3  753.7  0.0  0.0  10.0  23.2  0.0 
0710 30.71  21.47  0.00D -6.74  1.55  0.66  167.11  -32.99  138.90  203.8  0.2  52.4  18.3  753.9  0.0  0.0  10.0  23.1  0.0 
0720 40.89  23.51  0.00D -6.63  1.51  0.68  166.45  -32.54  138.63  181.0  0.2  52.6  18.3  754.0  0.0  0.0  10.0  23.1  0.0 
0730 58.91  27.74  0.00D -6.02  1.33  0.75  167.48  -32.31  139.86  151.0  0.2  53.6  18.1  754.3  0.0  0.0  10.0  23.1  0.0 
0740 55.29  27.09  0.00D -5.79  1.21  0.74  164.20  -31.44  137.32  141.5  0.2  54.1  18.0  754.3  0.0  0.0  10.0  23.1  0.0 
0750 45.22  26.17  0.00D -5.38  1.19  0.76  161.83  -30.45  135.80  152.5  0.2  54.6  17.9  754.5  0.0  0.0  10.0  23.1  0.0 
0800 45.54  26.87  0.00D -5.56  1.39  0.78  167.49  -31.92  140.20  164.1  0.2  54.4  18.0  754.6  0.0  0.0  10.0  23.1  0.0 
0810 46.78  28.42  0.00D -5.96  1.49  0.86  184.69  -36.13  153.80  201.4  0.1  53.8  18.3  754.6  0.0  0.0  10.0  23.1  0.0 
0820 46.25  28.38  0.00D -6.33  1.55  0.88  186.83  -36.39  155.72  195.1  0.2  53.9  18.4  754.6  0.0  0.0  10.0  23.1  0.0 
0830 44.53  27.30  0.00D -7.16  1.35  0.92  185.84  -34.64  156.23  177.3  0.2  53.9  18.6  754.7  0.0  0.0  10.0  23.4  0.0 
0840 43.98  26.42  0.00D -7.13  1.30  0.88  176.37  -31.12  149.76  189.7  0.2  53.7  18.7  754.6  0.0  0.0  10.0  23.2  0.0 
0850 45.20  23.55  0.00D -7.14  1.27  0.76  147.56  -21.18  129.45  177.6  0.2  53.3  19.0  754.5  0.0  0.0  10.0  23.2  0.0 
0900 167.74  28.55  0.00D -7.23  1.33  0.73  149.00  -18.88  132.86  192.3  0.2  53.4  19.1  754.5  0.1  0.0  10.0  23.2  0.0 
0910 303.22  38.83  0.00D -6.80  1.72  0.59  134.32  -10.40  125.43  214.4  0.2  53.3  19.3  754.5  0.2  0.0  10.0  23.2  0.0 
0920 219.27  32.44  0.00D -6.58  1.91  0.55  109.88  -3.84  106.60  224.5  0.2  53.2  19.3  754.4  0.2  0.0  10.0  23.3  0.0 
