'Nombre: CHEMILABS; Código: 12345678; Fecha: 11/12/2019 00:00:00; Canales: 19
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;3,TSP,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;18,RAIN,mm;16,Humedad Int,% H.R.;17,Temperatura Int,°C;19,Estado Puerta,No definida;
0000 33.31  15.52  0.00D -54.12  4.12  0.19  164.11  -34.79  134.37  116.5  0.2  51.7  20.3  752.7  0.0  0.0  10.0  23.4  0.0 
0010 30.67  15.48  0.00D -53.74  4.91  0.20  173.58  -38.40  140.74  118.4  0.2  51.8  20.2  752.7  0.0  0.0  10.0  23.3  0.0 
0020 30.50  15.47  0.00D -53.68  4.70  0.19  171.68  -37.80  139.36  120.2  0.2  51.8  20.2  752.6  0.0  0.0  10.0  23.4  0.0 
0030 24.70  13.23  0.00D -53.93  5.31  0.11  154.82  -32.99  126.62  117.4  0.2  51.6  20.1  752.4  0.0  0.0  10.0  23.5  0.0 
0040 21.54  11.70  0.00D -54.18  5.00  0.02  129.85  -25.05  108.44  114.3  0.3  51.4  20.1  752.2  0.0  0.0  10.0  23.4  0.0 
0050 23.28  12.44  0.00D -54.19  5.29  0.03  137.39  -27.55  113.84  118.1  0.3  51.4  20.1  752.2  0.0  0.0  10.0  23.4  0.0 
0100 26.17  13.59  0.00D -54.32  5.10  0.05  155.78  -33.54  127.10  118.5  0.2  51.4  20.0  752.1  0.0  0.0  10.0  23.2  0.0 
0110 24.45  13.16  0.00D -54.45  4.85  0.04  158.07  -34.62  128.47  117.7  0.2  51.4  20.0  752.1  0.0  0.0  10.0  23.3  0.0 
0120 18.06  10.54  0.00D -54.74  3.55  -0.08  141.39  -30.63  115.21  132.4  0.2  51.2  20.0  751.9  0.0  0.0  10.0  23.4  0.0 
0130 16.35  9.16  0.00D -54.84  3.01  -0.19  110.89  -21.88  92.19  111.3  0.2  51.2  20.0  751.8  0.0  0.0  10.0  23.2  0.0 
0140 16.33  9.11  0.00D -54.91  3.07  -0.18  111.74  -22.02  92.92  116.5  0.2  51.2  20.0  751.7  0.0  0.0  10.0  23.3  0.0 
0150 13.27  7.87  0.00D -55.34  3.43  -0.24  90.04  -14.37  77.75  133.2  0.2  51.4  20.0  751.6  0.0  0.0  10.0  23.4  0.0 
0200 10.65  6.71  0.00D -55.73  4.38  -0.31  60.08  -3.13  57.41  138.4  0.2  51.6  19.9  751.5  0.0  0.0  10.0  23.4  0.0 
0210 9.09  6.91  0.00D -56.50  5.55  -0.36  21.25  11.06  30.71  121.3  0.2  51.8  19.9  751.4  0.0  0.0  10.0  23.6  0.0 
0220 9.26  6.99  0.00D -56.44  5.52  -0.37  14.72  13.06  25.89  118.7  0.2  51.7  19.9  751.4  0.0  0.0  10.0  23.4  0.0 
0230 10.47  7.40  0.00D -56.04  4.95  -0.39  11.42  13.50  22.97  116.4  0.2  51.5  19.9  751.3  0.0  0.0  10.0  23.2  0.0 
0240 11.10  7.50  0.00D -56.04  4.67  -0.38  24.47  8.46  31.70  132.3  0.2  51.4  19.8  751.2  0.0  0.0  10.0  23.3  0.0 
0250 12.44  7.68  0.00D -56.24  3.98  -0.35  54.13  -3.02  51.55  158.2  0.2  51.4  19.8  751.1  0.0  0.0  10.0  23.3  0.0 
0300 12.48  7.53  0.00D -56.40  4.97  -0.36  53.90  -3.26  51.11  156.8  0.2  51.4  19.7  751.1  0.0  0.0  10.0  23.3  0.0 
0310 12.52  7.52  0.00D -56.27  7.53  -0.39  53.69  -3.83  50.41  183.4  0.2  51.6  19.7  751.0  0.0  0.0  10.0  23.3  0.0 
0320 12.76  7.52  0.00D -56.14  6.80  -0.39  55.18  -4.43  51.39  159.7  0.2  51.6  19.7  751.0  0.0  0.0  10.0  23.2  0.0 
0330 15.79  8.21  0.00D -56.25  4.89  -0.38  55.09  -4.10  51.58  175.8  0.2  51.5  19.6  750.9  0.0  0.0  10.0  23.2  0.0 
0340 20.47  10.02  0.00D -56.41  4.76  -0.35  64.73  -7.34  58.45  206.9  0.2  51.6  19.6  750.9  0.0  0.0  10.0  23.4  0.0 
0350 19.63  10.08  0.00D -56.71  4.29  -0.34  86.75  -14.96  73.96  188.2  0.2  51.6  19.6  750.9  0.0  0.0  10.0  23.3  0.0 
0400 16.63  9.72  0.00D -56.94  3.91  -0.34  110.12  -23.65  89.89  168.3  0.2  51.3  19.6  751.0  0.0  0.0  10.0  23.4  0.0 
0410 16.95  9.76  0.00D -56.70  4.27  -0.34  108.23  -23.45  88.18  182.4  0.2  51.3  19.5  751.0  0.0  0.0  10.0  23.3  0.0 
0420 21.25  14.18  0.00D -56.29  5.25  -0.32  94.67  -19.82  77.72  182.3  0.2  51.3  19.5  751.0  0.0  0.0  10.0  23.2  0.0 
0430 25.46  16.19  0.00D -56.33  5.64  -0.28  103.90  -21.76  85.29  187.2  0.2  51.3  19.4  751.0  0.0  0.0  10.0  23.2  0.0 
0440 38.66  21.27  0.00D -56.61  5.88  -0.11  179.18  -24.21  158.48  195.3  0.2  51.5  19.3  751.1  0.0  0.0  10.0  23.1  0.0 
0450 35.92  20.05  0.00D -56.31  5.89  -0.10  193.87  -26.08  171.57  192.9  0.2  51.4  19.3  751.2  0.0  0.0  10.0  23.2  0.0 
