'Nombre: CHEMILABS; Código: 12345678; Fecha: 14/12/2019 00:00:00; Canales: 18
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;16,RAIN,mm;17,Humedad Int,% H.R.;18,Temperatura Int,°C;20,Estado Puerta,No definida;
0000 37.02  23.53  -82.27  2.18  0.08  60.30  13.12  71.52  134.1  0.2  57.6  20.7  751.4  0.0  0.0  10.0  23.4  0.0 
0010 40.60  24.64  -82.75  2.36  0.11  64.22  10.05  72.82  123.8  0.2  57.6  20.7  751.2  0.0  0.0  10.0  23.3  0.0 
0020 43.40  25.48  -82.89  2.13  0.11  69.40  8.91  77.02  116.5  0.2  57.6  20.7  751.2  0.0  0.0  10.0  23.6  0.0 
0030 43.03  26.12  -82.82  2.33  0.12  69.40  9.03  77.12  118.7  0.2  57.7  20.7  751.1  0.0  0.0  10.0  23.5  0.0 
0040 39.38  25.74  -82.74  2.74  0.09  64.17  9.49  72.28  119.5  0.2  57.8  20.6  751.1  0.0  0.0  10.0  23.4  0.0 
0050 38.31  24.75  -82.85  2.76  0.06  57.12  11.14  66.65  117.9  0.2  57.8  20.7  751.1  0.0  0.0  10.0  23.4  0.0 
0100 35.30  22.85  -82.94  3.03  -0.02  41.89  16.18  55.73  122.9  0.2  57.8  20.6  751.1  0.0  0.0  10.0  23.3  0.0 
0110 36.36  23.54  -82.46  2.96  0.02  57.31  11.17  66.86  127.3  0.2  57.9  20.6  751.0  0.0  0.0  10.0  23.4  0.0 
0120 37.46  24.21  -82.25  3.02  0.06  87.00  -0.66  86.43  127.3  0.2  58.1  20.6  751.0  0.0  0.0  10.0  23.1  0.0 
0130 38.43  24.47  -82.47  2.77  0.07  90.47  -2.13  88.65  124.1  0.2  58.1  20.6  750.9  0.0  0.0  10.0  23.3  0.0 
0140 43.14  26.70  -82.97  2.31  0.16  128.40  -14.86  115.70  122.6  0.2  58.1  20.6  750.8  0.0  0.0  10.0  23.6  0.0 
0150 41.80  26.81  -83.33  2.74  0.13  131.68  -16.54  117.54  130.5  0.2  58.0  20.5  750.6  0.0  0.0  10.0  23.4  0.0 
0200 39.03  25.50  -83.36  2.55  0.08  116.23  -12.34  105.69  126.3  0.2  57.8  20.5  750.6  0.0  0.0  10.0  23.4  0.0 
0210 30.47  21.35  -83.52  2.74  -0.09  62.48  3.22  65.23  126.7  0.2  57.1  20.6  750.5  0.0  0.0  10.0  23.3  0.0 
0220 29.50  20.89  -83.57  2.55  -0.13  50.62  7.79  57.29  123.5  0.2  57.0  20.5  750.5  0.0  0.0  10.0  23.4  0.0 
0230 29.84  21.07  -83.70  2.57  -0.21  29.57  17.47  44.50  121.0  0.2  57.3  20.5  750.4  0.0  0.0  10.0  23.5  0.0 
0240 33.39  22.53  -83.57  3.06  -0.20  40.29  13.86  52.15  127.5  0.2  57.6  20.5  750.3  0.0  0.0  10.0  23.2  0.0 
0250 33.28  22.50  -83.48  2.95  -0.19  43.24  12.68  54.08  133.3  0.2  57.6  20.5  750.3  0.0  0.0  10.0  23.3  0.0 
0300 30.29  21.02  -83.37  2.92  -0.19  42.16  12.52  52.85  129.3  0.2  57.4  20.5  750.3  0.0  0.0  10.0  23.5  0.0 
0310 29.22  20.41  -83.66  3.14  -0.22  30.95  16.15  44.75  123.4  0.2  57.2  20.5  750.3  0.0  0.0  10.0  23.4  0.0 
0320 31.68  21.32  -84.06  2.87  -0.25  20.98  21.12  39.04  111.8  0.2  57.1  20.5  750.2  0.0  0.0  10.0  23.6  0.0 
0330 32.32  21.75  -84.02  3.07  -0.25  22.42  20.92  40.31  113.7  0.2  57.2  20.5  750.2  0.0  0.0  10.0  23.4  0.0 
0340 34.98  23.25  -83.60  3.22  -0.20  39.65  15.44  52.85  115.4  0.2  57.5  20.5  750.2  0.0  0.0  10.0  23.2  0.0 
0350 36.80  24.01  -83.65  2.41  -0.18  49.73  11.76  59.79  113.6  0.2  57.6  20.5  750.3  0.0  0.0  10.0  23.4  0.0 
0400 37.69  25.33  -83.78  2.61  -0.17  49.19  11.76  59.25  114.1  0.2  57.7  20.5  750.3  0.0  0.0  10.0  23.3  0.0 
0410 41.27  29.14  -84.17  2.84  -0.12  57.54  8.05  64.42  116.0  0.2  58.0  20.4  750.5  0.0  0.0  10.0  23.4  0.0 
0420 41.12  28.78  -84.25  2.71  -0.09  72.12  2.74  74.47  115.2  0.2  58.1  20.4  750.6  0.0  0.0  10.0  23.3  0.0 
0430 38.32  27.27  -84.27  2.56  -0.05  96.92  -6.51  91.36  120.3  0.2  58.8  20.4  750.7  0.0  0.0  10.0  23.3  0.0 
0440 38.30  27.55  -84.40  2.53  -0.04  91.82  -5.01  87.53  116.3  0.2  58.9  20.4  750.7  0.0  0.0  10.0  23.4  0.0 
0450 35.97  27.16  -84.28  3.03  -0.04  73.71  0.35  74.00  122.2  0.2  59.0  20.3  750.7  0.0  0.0  10.0  23.3  0.0 
0500 32.40  25.07  -84.19  3.29  -0.08  61.53  3.72  64.71  121.1  0.2  58.9  20.3  750.7  0.0  0.0  10.0  23.4  0.0 
0510 21.18  18.33  -84.78  4.50  -0.28  14.09  15.14  27.03  115.5  0.2  57.8  20.3  750.9  0.0  0.0  10.0  23.5  0.0 
0520 17.26  15.75  -85.25  5.62  -0.39  -5.90  19.25  10.56  114.4  0.2  56.9  20.3  751.0  0.0  0.0  10.0  23.2  0.0 
0530 16.71  15.04  -85.34  6.00  -0.40  -8.34  19.09  7.98  115.3  0.2  56.6  20.3  751.0  0.0  0.0  10.0  23.3  0.0 
0540 14.67  12.98  -85.38  7.10  -0.43  -14.56  18.12  0.93  113.6  0.2  55.8  20.3  751.1  0.0  0.0  10.0  23.4  0.0 
0550 15.43  13.22  -85.46  7.21  -0.42  -15.03  18.02  0.38  113.3  0.2  55.7  20.3  751.1  0.0  0.0  10.0  23.4  0.0 
0600 20.15  14.54  -85.44  5.63  -0.36  -9.13  20.74  8.62  113.0  0.3  55.6  20.2  751.1  0.0  0.0  10.0  23.5  0.0 
0610 21.01  15.61  -85.38  5.02  -0.33  -4.03  21.10  14.02  112.1  0.2  55.8  20.2  751.1  0.0  0.0  10.0  23.4  0.0 
0620 20.57  16.58  -85.41  3.76  -0.28  5.04  22.22  24.03  112.4  0.2  55.9  20.2  751.2  0.0  0.0  10.0  23.3  0.0 
0630 18.66  15.29  -85.55  4.25  -0.31  1.30  22.98  20.94  111.7  0.2  55.6  20.2  751.2  0.0  0.0  10.0  23.3  0.0 
0640 15.21  12.66  -85.68  5.61  -0.35  -7.88  24.39  12.98  112.6  0.2  55.2  20.2  751.4  0.0  0.0  10.0  23.3  0.0 
0650 16.02  12.68  -85.29  5.05  -0.32  -3.85  24.30  16.92  120.0  0.2  55.4  20.2  751.4  0.0  0.0  10.0  23.4  0.0 
0700 18.45  12.88  -84.53  3.79  -0.21  11.25  21.99  30.05  123.8  0.2  56.1  20.2  751.6  0.0  0.0  10.0  23.5  0.0 
0710 17.97  12.83  -84.59  3.82  -0.19  16.74  20.16  33.97  121.1  0.2  56.2  20.2  751.7  0.0  0.0  10.0  23.5  0.0 
0720 24.17  14.36  -84.89  3.63  -0.14  24.64  17.51  39.61  114.4  0.2  56.3  20.2  752.0  0.0  0.0  10.0  23.5  0.0 
0730 25.53  14.56  -85.04  3.57  -0.15  21.47  18.57  37.34  115.0  0.2  56.1  20.2  752.1  0.0  0.0  10.0  23.4  0.0 
0740 29.80  15.39  -85.53  3.54  -0.17  9.64  21.33  27.88  116.5  0.2  55.9  20.3  752.4  0.0  0.0  10.0  23.4  0.0 
