'Nombre: CHEMILABS; Código: 12345678; Fecha: 17/12/2019 00:00:00; Canales: 18
#HHMM;1,PM10,µg/m³;2,PM2.5,µg/m³;4,SO2,ppb;5,O3,ppb;6,CO,ppm;7,NO,ppb;8,NO2,ppb;9,NOX,ppb;10,DV,grados;11,VV,m/s;12,HR,% H.R.;13,TEMP,°C;14,PB,mb;15,RS,W/m²;16,RAIN,mm;17,Humedad Int,% H.R.;18,Temperatura Int,°C;20,Estado Puerta,No definida;
0000 18.78  9.02  -107.77  0.68  -0.21  64.81  -0.73  64.17  132.0  0.2  48.1  20.1  751.8  0.0  0.0  10.0  23.5  0.0 
0010 14.68  8.05  -108.19  0.68  -0.29  40.63  7.41  46.96  130.2  0.2  48.1  20.0  751.6  0.0  0.0  10.0  23.5  0.0 
0020 14.55  7.91  -108.28  0.69  -0.31  35.62  8.79  43.14  127.7  0.2  48.1  19.9  751.5  0.0  0.0  10.0  23.4  0.0 
0030 17.25  9.84  -108.50  0.78  -0.29  60.79  0.35  61.08  130.9  0.2  48.4  19.9  751.3  0.0  0.0  10.0  23.3  0.0 
0040 18.27  11.24  -108.47  0.80  -0.19  105.58  -14.25  93.39  129.3  0.2  49.0  19.8  751.3  0.0  0.0  10.0  23.3  0.0 
0050 19.78  13.92  -108.39  0.91  -0.16  126.29  -21.09  108.27  123.6  0.2  49.7  19.8  751.3  0.0  0.0  10.0  23.1  0.0 
0100 20.52  14.04  -108.63  0.74  -0.17  121.13  -19.79  104.21  124.0  0.2  49.2  19.8  751.2  0.0  0.0  10.0  23.2  0.0 
0110 23.24  14.07  -109.18  0.59  -0.19  115.76  -18.26  100.15  128.6  0.2  48.6  19.8  751.0  0.0  0.0  10.0  23.2  0.0 
0120 23.79  14.11  -109.01  0.67  -0.17  127.70  -22.08  108.82  132.2  0.2  48.5  19.7  751.0  0.0  0.0  10.0  23.3  0.0 
0130 23.87  13.89  -108.94  0.92  -0.12  149.18  -29.70  123.78  160.2  0.2  48.4  19.6  751.0  0.0  0.0  10.0  23.5  0.0 
0140 22.91  13.56  -109.02  1.12  -0.13  144.21  -28.38  119.94  169.2  0.2  48.4  19.6  750.9  0.0  0.0  10.0  23.3  0.0 
